label,data
id,"<button id=""close-dialog-btn"" class=""modal-close-icon"" aria-label=""Close""></button>"
class,"<button class=""footer__wrapper--language-toggle"">Change Language</button>"
class,"<button type=""button"" class=""close-btn"" data-dismiss=""dialog"" aria-label=""Dismiss""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#menu-nav"" aria-expanded=""false""> <span class=""sr-only"">Toggle Menu</span> <span class=""icon-bar""></span> <span class=""icon-bar""></span> <span class=""icon-bar""></span> </button>"
class,"<button type=""button"" class=""icon-close"" data-dismiss=""popup"" aria-label=""Dismiss""></button>"
id,"<button id=""exit-modal-btn"" class=""modal-exit-icon"" aria-label=""Exit""></button>"
class,"<button class=""footer__wrapper--currency-toggle"">Change Currency</button>"
class,"<button type=""button"" class=""close-window"" data-dismiss=""popup"" aria-label=""Close""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""header-toggle collapsed"" data-toggle=""collapse"" data-target=""#header-nav"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Header</span>
       <span class=""icon-dash""></span>
       <span class=""icon-dash""></span>
       <span class=""icon-dash""></span>
   </button>"
class,"<button type=""button"" class=""icon-exit"" data-dismiss=""dialog"" aria-label=""Exit""></button>"
id,"<button id=""modal-close-btn"" class=""modal-close-icon"" aria-label=""Close Window""></button>"
class,"<button class=""footer__wrapper--region-toggle"">Switch Region</button>"
class,"<button type=""button"" class=""close-modal"" data-dismiss=""popup"" aria-label=""Close Dialog"">
       <span aria-hidden=""true"">×</span>
   </button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#sidebar-nav"" aria-expanded=""false""> <span class=""sr-only"">Toggle Sidebar</span> <span class=""icon-minus""></span> <span class=""icon-minus""></span> <span class=""icon-minus""></span> </button>"
class,"<button type=""button"" class=""icon-close-btn"" data-dismiss=""modal"" aria-label=""Dismiss Popup""></button> "
id,"<button id=""close-popup-btn"" class=""popup-close-icon"" aria-label=""Close Popup""></button> "
class,"<button class=""footer__wrapper--theme-toggle"">Change Theme</button>"
class,"<button type=""button"" class=""close-button"" data-dismiss=""dialog"" aria-label=""Close"">
       <span aria-hidden=""true"">×</span>
   </button>"
class,"<button type=""button"" class=""navbar-toggle collapsed"" data-toggle=""collapse"" data-target=""#main-nav"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Navigation</span>
       <span class=""glyphicon-plus""></span>
       <span class=""glyphicon-plus""></span>
       <span class=""glyphicon-plus""></span>
   </button>"
class,"<button type=""button"" class=""icon-dismiss"" data-dismiss=""modal"" aria-label=""Close Dialog""></button>"
id,"<button id=""dialog-close-btn"" class=""dialog-close-icon"" aria-label=""Close""></button> "
class,"<button class=""footer__wrapper--locale-toggle"">Switch Locale</button> "
class,"<button type=""button"" class=""close-modal-btn"" data-dismiss=""popup"" aria-label=""Dismiss""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""collapse-toggle collapsed"" data-toggle=""collapse"" data-target=""#footer-nav"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Footer</span>
       <span class=""icon-caret""></span>
       <span class=""icon-caret""></span>
       <span class=""icon-caret""></span>
   </button>"
class,"<button type=""button"" class=""icon-close-modal"" data-dismiss=""dialog"" aria-label=""Close""></button>"
id,"<button id=""popup-close-btn"" class=""popup-close-icon"" aria-label=""Close""></button>"
class,"<button class=""footer__wrapper--timezone-toggle"">Change Timezone</button>"
class,"<button type=""button"" class=""close-dialog-btn"" data-dismiss=""modal"" aria-label=""Close Window"">
       <span aria-hidden=""true"">×</span>
   </button>"
class,"<button type=""button"" class=""collapse-menu collapsed"" data-toggle=""collapse"" data-target=""#sidebar-menu"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Sidebar Menu</span>
       <span class=""glyphicon-minus-sign""></span>
       <span class=""glyphicon-minus-sign""></span>
       <span class=""glyphicon-minus-sign""></span>
   </button>"
class,"<button type=""button"" class=""icon-close-dialog"" data-dismiss=""modal"" aria-label=""Dismiss""></button>"
id,"<button id=""exit-dialog-btn"" class=""dialog-exit-icon"" aria-label=""Exit""></button>"
class,"<button class=""footer__wrapper--country-select"">Select Country</button>"
class,"<button type=""button"" class=""close-window-btn"" data-dismiss=""popup"" aria-label=""Close Window""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""navbar-menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#menu-collapse"" aria-expanded=""false""> <span class=""sr-only"">Toggle Navigation</span> <span class=""glyphicon-minus-circle""></span> <span class=""glyphicon-minus-circle""></span> <span class=""glyphicon-minus-circle""></span> </button>"
class,"<button type=""button"" class=""icon-cancel-btn"" data-dismiss=""dialog"" aria-label=""Cancel""></button>"
id,"<button id=""close-window-btn"" class=""window-close-icon"" aria-label=""Close""></button>"
class,"<button class=""footer__wrapper--city-toggle"">Change City</button> "
class,"<button type=""button"" class=""close-panel-btn"" data-dismiss=""popup"" aria-label=""Close Panel""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""toggle-nav collapsed"" data-toggle=""collapse"" data-target=""#header-menu"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Header Menu</span>
       <span class=""glyphicon-plus-sign""></span>
       <span class=""glyphicon-plus-sign""></span>
       <span class=""glyphicon-plus-sign""></span>
   </button>"
class,"<button type=""button"" class=""icon-cancel-window"" data-dismiss=""modal"" aria-label=""Cancel""></button>"
id,"<button id=""close-panel-btn"" class=""panel-close-icon"" aria-label=""Close Panel""></button>"
